R,G,B,Label
149.521728515625,197.71435546875,239.92041015625,orange fruit
129.866455078125,214.88720703125,247.72412109375,orange fruit
165.53662109375,210.92724609375,239.4677734375,orange fruit
80.315185546875,122.775146484375,190.8232421875,orange fruit
62.24755859375,201.6904296875,251.031494140625,orange fruit
204.227294921875,218.87939453125,231.458740234375,orange fruit
156.817138671875,205.838134765625,239.768310546875,orange fruit
35.00146484375,116.006591796875,222.397705078125,orange fruit
113.26171875,190.147705078125,247.02880859375,orange fruit
82.26611328125,139.228515625,179.48828125,orange fruit
76.861328125,91.11328125,121.724609375,orange fruit
8.247314453125,94.1103515625,222.486083984375,orange fruit
210.227294921875,233.0703125,243.36279296875,orange fruit
29.373779296875,145.122802734375,228.016357421875,orange fruit
169.361328125,210.462646484375,245.163818359375,orange fruit
68.87939453125,174.97802734375,234.71484375,orange fruit
169.046142578125,204.3515625,254.814208984375,orange fruit
66.213134765625,133.917236328125,164.47119140625,orange fruit
22.4755859375,57.4091796875,165.472412109375,orange fruit
76.242919921875,147.76171875,221.01953125,orange fruit
179.5,226.268310546875,245.835205078125,orange fruit
95.85107421875,132.311279296875,170.048095703125,orange fruit
27.187744140625,146.264892578125,240.9296875,orange fruit
151.69384765625,199.323974609375,243.5263671875,orange fruit
150.226806640625,197.02197265625,232.241943359375,orange fruit
35.00146484375,116.006591796875,222.397705078125,orange fruit
139.298095703125,188.84619140625,229.75390625,orange fruit
150.226806640625,197.02197265625,232.241943359375,orange fruit
170.85400390625,224.285888671875,252.419921875,orange fruit
126.41552734375,196.87744140625,240.754150390625,orange fruit
121.60791015625,193.944091796875,249.0439453125,orange fruit
140.482421875,205.740234375,235.181396484375,orange fruit
137.332275390625,214.53271484375,243.949462890625,orange fruit
148.239990234375,186.78271484375,227.3046875,orange fruit
148.194091796875,208.406005859375,253.56201171875,orange fruit
153.098388671875,200.635986328125,236.664794921875,orange fruit
35.779541015625,113.89208984375,222.974853515625,orange fruit
158.89599609375,219.356689453125,253.666015625,orange fruit
104.03173828125,176.610595703125,227.47412109375,orange fruit
157.229736328125,206.940673828125,229.02783203125,orange fruit
176.9599609375,194.14013671875,210.6171875,strawberry fruit
178.587158203125,189.51123046875,210.037353515625,strawberry fruit
175.10498046875,182.75537109375,226.537353515625,strawberry fruit
10.674072265625,44.742919921875,105.21337890625,strawberry fruit
51.765625,70.119384765625,193.91650390625,strawberry fruit
16.976806640625,39.291259765625,146.359375,strawberry fruit
161.431640625,164.638916015625,213.728515625,strawberry fruit
19.4189453125,26.70068359375,140.5703125,strawberry fruit
140.474853515625,149.119873046875,206.523193359375,strawberry fruit
31.4814453125,46.70166015625,177.599609375,strawberry fruit
63.02587890625,83.930419921875,108.74853515625,strawberry fruit
38.81201171875,44.02001953125,133.98876953125,strawberry fruit
213.6884765625,217.970458984375,237.771484375,strawberry fruit
136.58837890625,147.197509765625,204.3544921875,strawberry fruit
149.9189453125,172.295654296875,231.31787109375,strawberry fruit
97.641845703125,102.88671875,137.70947265625,strawberry fruit
